idx	status	source_file	line_no	variant	core_sha256_bits	red_K5	blue_K5	red_K4_count	blue_K4_count	phi0_exists	phi0_timeout	phi0_nodes	phi0_elapsed_s	phi1_exists	phi1_timeout	phi1_nodes	phi1_elapsed_s	phi2_exists	phi2_timeout	phi2_nodes	phi2_elapsed_s	phi2_red_phi	phi2_blue_phi	phi2_degree	status_detail
1	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\positive_control_candidate.g6	1	source	405f4b0430f5cec8ebbc6d36bf2c39ad9a9acfaa0e435c86db4f5f576462c7d5	0	0	1141	1172	False	False	95	0.457	False	False	515	2.271	False	False	1461	6.296				phi 0,1,2 excluded
2	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\positive_control_candidate.g6	1	complement	d883eebeb1e0b1acbab88f12b3273d8b980899dcaa947aeec7803c543b9ca1f2	0	0	1172	1141	False	False	95	0.483	False	False	515	2.306	False	False	1461	6.322				phi 0,1,2 excluded
3	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	2	source	5a27b1410ddc68fe14f52f827444e587e08ababe2bbe4967cae3b2bbfd38938e	0	0	1149	1156	False	False	103	0.5	False	False	567	2.501	False	False	1657	7.086				phi 0,1,2 excluded
4	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	2	complement	396769bc0ef42a0cbe99015599cfba26afc8a86728826e4b632e5efb5eb6d04b	0	0	1156	1149	False	False	103	0.502	False	False	567	2.528	False	False	1657	7.174				phi 0,1,2 excluded
5	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	3	source	4e4f919fd1ac59bf3c059f2f2ede5bc1013c6431ee54bf12b62c3c6459854f83	0	0	1162	1145	False	False	103	0.523	False	False	607	2.732	False	False	1721	7.288				phi 0,1,2 excluded
6	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	3	complement	e1c4b9eba291f54bf59985ed963b18a30c8d7f2ce83de451a00fa38a779a1c8b	0	0	1145	1162	False	False	103	0.51	False	False	607	2.704	False	False	1721	7.304				phi 0,1,2 excluded
7	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	4	source	a367a87ab377aff8231f7979899f079234ae864a79fbf3a1d4f3b6f38ec20ae7	0	0	1122	1186	False	False	75	0.37	False	False	475	2.099	False	False	1279	5.593				phi 0,1,2 excluded
8	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	4	complement	6c7d85a933014fc5b49d897591c66948d6b3b79acdc13ff01ade2d01b28b59c9	0	0	1186	1122	False	False	75	0.366	False	False	475	2.093	False	False	1279	5.285				phi 0,1,2 excluded
9	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	5	source	2af15b5565168aa201443ccda43848d41bb8b35f68a446f713c7419092233104	0	0	1135	1171	False	False	69	0.323	False	False	381	1.683	False	False	1229	5.071				phi 0,1,2 excluded
10	DELTA_GE_3_PROVED	C:\mcdo_ramsey_MASTER43\01_VALIDATION\MDO_R55_REFERENCE_CANDIDATE_V27E_STABLE\MDO_R55_REFERENCE_CANDIDATE_V27E_20260509_032316\r55_42some.g6	5	complement	0da103ef0e3815ae94ceb06768e11f563e8997ef52b334b2f5627771e9557eb3	0	0	1171	1135	False	False	69	0.328	False	False	381	1.638	False	False	1229	5.251				phi 0,1,2 excluded
