"idx"	"status"	"variant"	"line_no"	"core_sha256_bits"	"source_file"	"red_K4_count"	"blue_K4_count"	"phi0_exists"	"phi1_exists"	"phi2_exists"	"phi2_red_phi"	"phi2_blue_phi"
"657"	"DELTA_GE_3_PROVED"	"source"	"1"	"7658c787862ab5a423501010aeb80856fc467a7aa082d99f10781733152f462d"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt14_knownTrue\candidate_K42.g6"	"1157"	"1155"	"False"	"False"	"False"	""	""
"658"	"DELTA_GE_3_PROVED"	"complement"	"1"	"20dab75d633940b1301439504d4f22c555d87cdd12d4a7a24a1315b7293c1c11"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt14_knownTrue\candidate_K42.g6"	"1155"	"1157"	"False"	"False"	"False"	""	""
"659"	"DELTA_GE_3_PROVED"	"source"	"1"	"799a2258506fc5b0d4735f0f75ec8f1bd9d10ceaa704200a7853766a89f12dcf"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt17_knownTrue\candidate_K42.g6"	"1146"	"1165"	"False"	"False"	"False"	""	""
"660"	"DELTA_GE_3_PROVED"	"complement"	"1"	"a3536e1a38b4ee260f06133f817957e5f50d7db2f0ff7e003be9641d37b8e0a2"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt17_knownTrue\candidate_K42.g6"	"1165"	"1146"	"False"	"False"	"False"	""	""
"661"	"DELTA_GE_3_PROVED"	"source"	"1"	"72e545d3be2901355d11107c1810075337667e416e5bfe9c1a41954ad514c205"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt20_knownTrue\candidate_K42.g6"	"1153"	"1157"	"False"	"False"	"False"	""	""
"662"	"DELTA_GE_3_PROVED"	"complement"	"1"	"40b5169b8a1763449a0f397d44c70c678a5791e61823fb747381eb163d6f629f"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt20_knownTrue\candidate_K42.g6"	"1157"	"1153"	"False"	"False"	"False"	""	""
"663"	"DELTA_GE_3_PROVED"	"source"	"1"	"9813ec2fd6bb739cdf67cd81f0664eeef6266560a9a2cb45b2c46e39eda2b324"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt22_knownTrue\candidate_K42.g6"	"1141"	"1161"	"False"	"False"	"False"	""	""
"664"	"DELTA_GE_3_PROVED"	"complement"	"1"	"33fbf9f9fc65d97c6624f095ce3a63d9bbc411c3c4d271893151ff3d81a9b342"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt22_knownTrue\candidate_K42.g6"	"1161"	"1141"	"False"	"False"	"False"	""	""
"665"	"DELTA_GE_3_PROVED"	"source"	"1"	"4aacebf8264402866b2b4a77ed5036f98ab293aad75da860cdc34871157101cb"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt25_knownTrue\candidate_K42.g6"	"1174"	"1138"	"False"	"False"	"False"	""	""
"666"	"DELTA_GE_3_PROVED"	"complement"	"1"	"3f973421876f82e50eaa675d949b68d00a64b5cbec0d714245c9175ac4584654"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt25_knownTrue\candidate_K42.g6"	"1138"	"1174"	"False"	"False"	"False"	""	""
"667"	"DELTA_GE_3_PROVED"	"source"	"1"	"39bb28f54936136a815f302823101e3b43c8d7bf6dd847631751c300126e074b"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt2_knownTrue\candidate_K42.g6"	"1130"	"1181"	"False"	"False"	"False"	""	""
"668"	"DELTA_GE_3_PROVED"	"complement"	"1"	"55b7165a2340848c449ad46dc2870d8a5e8e9060d2a1588b9b890fd45611e4ff"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt2_knownTrue\candidate_K42.g6"	"1181"	"1130"	"False"	"False"	"False"	""	""
"669"	"DELTA_GE_3_PROVED"	"source"	"1"	"c7cae8a747cf8dfacd6106a5c64f215a0002d33e7edef4bd89ca1522e7e0ed43"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt31_knownTrue\candidate_K42.g6"	"1147"	"1171"	"False"	"False"	"False"	""	""
"670"	"DELTA_GE_3_PROVED"	"complement"	"1"	"2069675e01ccfb6064fc455f696d527ba0ba4f6d761e39f0aa28e2236b9a71a7"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt31_knownTrue\candidate_K42.g6"	"1171"	"1147"	"False"	"False"	"False"	""	""
"671"	"DELTA_GE_3_PROVED"	"source"	"1"	"578c1d74f91cd1d02959a47ba4790e90245eb053eb1088ace37e13eb5d7d848e"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt5_knownTrue\candidate_K42.g6"	"1152"	"1157"	"False"	"False"	"False"	""	""
"672"	"DELTA_GE_3_PROVED"	"complement"	"1"	"401b910c09bd5ec2233f38c3481e49c7db009b753c1c8a8d8a069914f42f4d03"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt5_knownTrue\candidate_K42.g6"	"1157"	"1152"	"False"	"False"	"False"	""	""
"673"	"DELTA_GE_3_PROVED"	"source"	"1"	"760003fb58ce632edd5323a0cb04762d09b41acbc67d810594e74250fe86a276"	"C:\mcdo_ramsey_MASTER43\03_K43_DISCOVERY\K42_WAVE_ESCAPE_V01\K42_WAVE_ESCAPE_V01_20260513_073249\candidates\K42_valid_attempt8_knownTrue\candidate_K42.g6"	"1167"	"1149"	"False"	"False"	"False"	""	""
